"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_00266",24.823717060534,19.9950893820982,3.13638136281475,6.37520985781958,1.82712585788776e-10,3.78345344118993e-08
"PHJJKLOP_01909",19.5148611117506,-22.2265435906517,3.48333529550968,-6.38082231684777,1.7613958210464e-10,3.78345344118993e-08
"PHJJKLOP_02893",24.2522086423081,-22.2591205837358,3.50669748598936,-6.34760217346085,2.1869673070462e-10,3.78345344118993e-08
"PHJJKLOP_01405",50.5725754535463,20.5024536813956,3.29972440110081,6.21338366154332,5.18556287314196e-10,5.8352660842345e-08
"PHJJKLOP_02385",46.7996037901682,22.0475393718486,3.55565949077718,6.20068919114343,5.62164362643016e-10,5.8352660842345e-08
"PHJJKLOP_02959",49.4159045314849,21.7544872348736,3.60489762767403,6.03470319597122,1.59255123232553e-09,1.37755681596159e-07
"PHJJKLOP_02579",58.3602347293277,8.92527486607339,2.42513519312854,3.68032054104141,0.000232940950148369,0.0172709075895719
"PHJJKLOP_01709",52.3769512774327,-9.74581020476712,2.75079438989836,-3.54290754720029,0.000395741414606841,0.0256737242726188
"PHJJKLOP_01116",72.1067232737989,-9.26474356716576,2.73481359221653,-3.38770568989925,0.000704798479316607,0.0343183092119136
"PHJJKLOP_01456",35.6985294334169,-8.33247777232651,2.461805320039,-3.3847021551625,0.000712555274047016,0.0343183092119136
"PHJJKLOP_01796",59.6856824498017,9.51205351962844,2.81500671567097,3.37905180356246,0.00072736300834499,0.0343183092119136
"PHJJKLOP_02212",46.8774521153238,-8.21177774039259,2.5454489477331,-3.22606263531851,0.00125505887711065,0.0542812964350358
"PHJJKLOP_03162",45.6738643510233,-8.92972589319234,2.94968433103862,-3.02734967237937,0.00246708389923064,0.0984935802846695
"PHJJKLOP_00069",34.8834325727356,8.19761585498489,2.80456832515878,2.9229510229603,0.00346731051120209,0.125516684018425
"PHJJKLOP_01171",25.4806420838574,8.74465039567243,3.00622619276784,2.90884645230943,0.00362764982712212,0.125516684018425
"PHJJKLOP_01322",22.0673944721252,-8.50241625222584,2.97085426505232,-2.86194323035099,0.00421052316957849,0.128544795588896
"PHJJKLOP_01655",48.348425358567,-9.02396441798085,3.13386246315838,-2.87950237895453,0.00398303292898037,0.128544795588896
"PHJJKLOP_00491",37.4692218954666,8.91405498219637,3.20078551883923,2.78495854524769,0.00535345668541055,0.154358001096004
"PHJJKLOP_00430",31.0777976570907,-8.40099461111762,3.13724086554597,-2.67782901318787,0.00741010356522133,0.165158024211251
"PHJJKLOP_00818",34.4357071698565,-7.94451751194832,2.96894095010238,-2.67587589159507,0.00745342399269239,0.165158024211251
