"common_genes"
"pbuO"
""
"mecA"
"spxA_1"
"cypC"
"adeC"
"prsA_1"
"licA_1"
"thiT"
"mutS_1"
"purA"
"pox5"
"oppD_1"
"yclQ"
"queT_2"
"bioY2"
"msrB"
"brnQ_1"
"ctc"
"adhE"
"kdgA"
"kdgK"
"nnrD"
"pepA"
"hchA"
"npr_1"
"dhaK"
"rbsD"
"rbsK"
"spxA_2"
"lysA"
"dapF"
"dapA"
"dapB"
"asd"
"yclM"
"argR_1"
"algC"
"ohrB_1"
"ydbD"
"vioD"
"ndk"
"manX_1"
"manX_2"
"nlhH"
"dppE"
"oppB"
"dppC"
"oppD_2"
"oppF_2"
"niaX"
"mgsA"
"folT_1"
"manX_3"
"pepC"
"yhaX"
"yrrK"
"gloA"
"rpoN1"
"pstB3_1"
"ponA_1"
"yheH"
"acyP"
"phoR_2"
"phoP"
"yfiY"
"argS"
"xpkA_1"
"xpkA_2"
"gdhIV"
"glcU_2"
"ydeA"
"pphA"
"nrdR"
"yidA_3"
"gspA_1"
"gspA_2"
"yghA"
"yckB"
"yecS_2"
"malL_2"
"hmpT"
"pdxK"
"ysnF"
"cmpD"
"pyrE"
"pyrDB"
"pyrK_1"
"pyrK_2"
"carB"
"carA"
"pyrC"
"pyrB"
"pyrP"
"pyrR"
"fhs1"
"cysK"
"tkt"
"gap_2"
"ydhF"
"purD"
"purH"
"purN"
"purM"
"purL"
"purB"
"purK"
"purE"
"xpt"
"yqiK"
"yuaF"
"dcuS_1"
"ssuB"
"folT_2"
"tuf_2"
"yvgN"
"manP_2"
"hisK"
"hsdS"
"ohrB_2"
"manZ_8"
"pemK"
"vanX"
"ligA_2"
"yoeB_2"
